Bin Name,Item Code,UOM,Inv Description,Manufacturer
B-06-F,STX MIX 846 1L,LTR,Standox Basecoat Mix 846- Satin Green Pearl,STANDOX 
B-06-F,STX MIX 847 0.5L,.5LTR,Standox Basecoat Mix 847 - Brilliant Gold,STANDOX 
B-06-F,STX MIX 854 1L,LTR,Standox Basecoat Mix 854 - Black,STANDOX 
B-06-F,STX MIX 855 1L,LTR,Standox Basecoat Mix 855 - Violet,STANDOX 
B-06-F,STX MIX 856 1L,LTR,Standox Basecoat Mix 856- Scarlet,STANDOX 
B-06-F,STX MIX 862 0.5L,.5LTR,"Standox Basecoat Mix 862- Sunset Red Pearl (LU,",STANDOX 
B-06-F,STX MIX 863 0.5L,.5LTR,Standox Basecoat Mix 863- Magic Cyan Pearl (L,STANDOX 
B-06-F,STX MIX 864 0.5L,.5LTR,Standox Basecoat Mix 864 - Midnight Blue Pearl (,STANDOX 
B-06-F,STX MIX 865 0.5L,.5LTR,Standox Basecoat Mix 865- Paradise Green Peal,STANDOX 
B-06-F,STX MIX 866 0.5L,.5LTR,Standox Basecoat Mix 866- Mystic Gold Pearl (II,STANDOX 
B-06-G,,,,
B-06-H,,,,
B-07-G,,,,
B-07-H,,,,
B-08-F,,,,
B-08-G,,,,
B-08-H,,,,
B-09-G,,,,
B-09-H,,,,
B-10-G,,,,
B-10-H,,,,
B-11-F,AXA CH6100 0.5L,HL,PURPLE,CHALLENGER
B-11-F,AXA CH6101 1L,LTR,AMBER YELLOW,CHALLENGER
B-11-F,AXA CH6103 3.75L,3.75LTR,BLACK,CHALLENGER
B-11-F,AXA CH6104 1L,LTR,BLACK,CHALLENGER
B-11-F,AXA CH6105 1L,LTR,BRIGHT GREEN,CHALLENGER
B-11-F,AXA CH6106 1L,LTR,CLARET RED,CHALLENGER
B-11-F,AXA CH6107 1L,LTR,COBALT BLUE,CHALLENGER
B-11-F,AXA CH6108 1L,LTR,DARK VIOLET,CHALLENGER
B-11-G,,,,
B-11-H,,,,
B-12-G,,,,
B-12-H,,,,
B-13-G,,,,
B-13-H,,,,
B-14-G,,,,
